turn_id,title,video_url,view,channel_url,channel_name,video_length,create_stamp,queriy,scrape_at,channel_country,channel_subscriber,mean_view,create_at,tag,description,like,dislike
132,JOJO的奇妙冒險 花京院的特殊招 rero,/watch?v=eCAxui4GfTI,17478,/channel/UCW-dCzq79T4KrHk5WqdhHVw,倪維廷,29 秒,2 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
134,DIO - PPAP (ジョジョの奇妙な冒険/JOJO的奇妙冒險),/watch?v=pYZochQwsVQ,6435,/user/M666S999,M666S999,53 秒,3 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
137,JOJO 的奇妙冒險  承太郎 KO 花京院,/watch?v=BqbynZ4j4sI,9030,/user/Rifle110,Rifle110,1 分 2 秒,2 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
144,[笨貓]動畫介紹-JOJO的奇妙冒險,/watch?v=9cWp4oBaUbU,101,/channel/UC4DE2H13mmC_zu8daeAzXdw,笨貓,2 分 20 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
145,PS4『JOJO的奇妙冒險 天國之眼』繁體中文版第二支宣傳影片,/watch?v=XKZWxRyuKyM,21859,/channel/UCUroB5hPQ1S0ziToQKNawfw,BANDAI NAMCO Entertainment Taiwan/Hong Kong,4 分 31 秒,5 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
148,JoJo的奇妙冒險第三部(P.2) 血之命運,/watch?v=ISYpJLPBFgI,637,/channel/UC8t8y6qbHFehF_silZ_Fxng,Chi Kit Kan,1 分 47 秒,5 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
149,【+奈z貓】*PlayStation*1998* JoJo的奇妙冒險 ジョジョの奇妙な冒険 *劇情模式*,/watch?v=m7GTUmOsllQ,937,/channel/UCb9sXwO_Xq8kbWbkpEaCObA,KanakonekoTVgame,4 時間 55 分 10 秒,2 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
151,OSU ! JOJO的奇妙冒險,/watch?v=Ji3AkI8gZHw,172,/channel/UCbfQbC4rpQqwyR_fhaUdGWw,三葉,1 分 39 秒,5 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
156,【JoJo的奇妙冒險】政治篇－替身使者:馬九九 替身:死亡之握,/watch?v=VM_UITLA1yc,793,/channel/UC4jhb33Jev-Ke9uMBph8fKQ,小黑 Little black,1 分 24 秒,10 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
158,JOJO的奇妙冒險：不滅鑽石 OP1,/watch?v=VbESNwaSTac,34003,/channel/UCU2mxMYNLCtgX1DWpBUaA7g,MAD LOVE,1 分 14 秒,3 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
